Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,FOXM1 ENCODE,0.6376234222743746,1.971024439392039,0.0,0.0,0.0,29/82,10.87%,GTSE1;CENPA;CDK1;PLK1;NUF2;TROAP;UBE2C;FAM83D;CKAP2L;KIF20A;CEP55;CDC20;CCNA2;ASPM;MKI67;UBE2T;HJURP;KIF11;PRC1;NEK2;HMGB2;CDKN2C;UBE2S;KIF14;PTTG1;KIF23;MXD3;CCNF;CCNB1
prerank,EZH2 CHEA,0.5134667738346903,1.652417275711632,0.0,0.004333965644430393,0.014,47/110,13.71%,NDNF;PDGFB;DLX5;DPF3;CDH4;PRDM6;HCRTR1;SCARF2;RAB3A;CACNA2D2;GALNT16;CBLN1;FAM78A;KIF1A;TNXB;MYB;EMX1;FLNC;IHH;BMP3;SMO;BCL11A;ALX3;ECEL1;ADCY5;CD24;NKD1;ZBTB16;PKNOX2;COLGALT2;SFRP5;KCNQ1;SIM2;INHBB;KIF26B;PTPRU;SKOR1;CHST8;ITLN1;PHF21B;MAPK11;ZNF536;MAFA;OVOL1;POU4F2;ESRP1;HES2
prerank,IRF8 CHEA,-0.40788455181115985,-1.638557414142697,0.0,0.048434442270058706,0.006060606060606061,32/112,13.71%,UCP2;MS4A1;HLA-G;SECTM1;GPR18;CASP1;MX2;CD37;TNFSF13B;TLR4;IFIH1;MLKL;DAPP1;TLR9;IRGM;RTP4;NCF4;PSME2;TAP1;TAP2;PPFIBP2;PSMB9;BCAP31;ISG20;PSMB8;VPS26A;LSP1;CTSS;GBP2;CD53;HLA-A;IDE
prerank,EZH2 ENCODE,0.44002038780467817,1.492527623296409,0.0021253985122210413,0.0418950012294938,0.181,60/219,14.99%,CASC15;MYOCD;WFDC2;KCNMB2;SHC3;RNF182;RBPMS2;TSGA10;EML5;ROCK1P1;RBP7;CHP2;FSCN1;C1QTNF4;IGSF3;NEIL1;LOC100270746;ERICH5;ITGB4;PRKCG;SMO;EFR3B;PNMT;SOBP;MATN3;TESK2;MAB21L1;CSPG5;CLUHP3;CTTNBP2;CLEC4GP1;LAMA3;RTN2;ELOVL4;S1PR5;CA11;RGL3;ORC1;F3;INSR;LDLRAD4;TBC1D3F;NTN4;REEP1;FAM131B;MYRIP;KLHL35;TACR1;C2CD4C;CPAMD8;B4GALNT4;ANKS1B;OLFM2;CA14;HCN2;CA8;SHANK3;DLG5;WBP1;NPAS1
prerank,E2F4 ENCODE,0.39254074949575685,1.3922952038349432,0.0,0.10416995995363051,0.489,169/652,24.08%,TTK;GTSE1;MYBL2;DEPDC1B;IQGAP3;BIRC5;MTFR2;ASF1B;KIF2C;CDK1;BUB1B;PSMC3IP;PBK;PLK1;CDC25C;ERI2;NUF2;TROAP;RMI2;BUB1;NDC80;DLGAP5;MCM10;E2F1;CKAP2L;KIF4A;KIF20A;ERCC6L;TICRR;CEP55;CDC20;CCNA2;ASPM;EXO1;CDCA5;CENPK;MCM5;RIBC1;SPC24;CDC45;AURKB;POLQ;E2F8;MKI67;PIM1;UBE2T;DTL;RECQL4;CCDC15;HJURP;KIF11;CENPU;KIF15;ATAD2;RAD54L;PRC1;ESPL1;TOP2A;NUSAP1;NEK2;HMGB2;NCAPG;PAQR4;GINS2;CDKN2C;MCM7;CHTF18;KIF14;KIF23;ORC1;EFCAB7;MXD3;MNS1;POC1A;CLSPN;TXNDC16;FBXO5;CC2D1A;FOXM1;CCNF;AGFG2;CENPL;GPR137C;TEX14;MND1;CCNE2;DSCC1;CENPM;EFCAB11;CDCA8;CDCA3;TTC9C;DDX11;BRCA1;KIF18A;ZNF367;SMC6;KIF24;MDC1;MAD2L1;TRAIP;TK1;DEPDC1;E2F7;CENPW;SF3A2;IER2;SLC25A19;ING2;CIT;GNB1L;PHF19;SPAG5;KIF22;CDC6;MIS18BP1;DNAAF2;PPP1R13L;SKA2;NASP;TOE1;SPDL1;NCAPH;RPS6KA5;MCM8;CDT1;CEP57;MELK;MCM2;RHNO1;PLK4;FANCG;ARHGAP11A;RAD51AP1;CEP120;SNHG1;LIG1;PCNT;BARD1;BRCA2;MZT1;CEP152;DZIP3;ZNF689;CHEK1;KIF18B;FANCD2;MIS18A;DIAPH3;BLM;PPM1D;YEATS4;DCK;CKAP2;PPWD1;PPM1B;POLD1;MSH6;PBX3;NXT1;TYMS;CASP8AP2;TMPO;CEP192;NCAPD2;PMF1;CDC7;CENPO;CENPF
prerank,MYC CHEA,-0.2659032360269646,-1.2881864160561303,0.0,0.5691046966731897,0.13434343434343435,226/537,29.98%,STC2;CCND1;GSTT2;FKBP11;FASN;PPIA;SPTSSA;RAD9B;NME1;RASSF3;INSIG1;NIFK;THEM6;RPS12;BZW2;POLR1B;METTL13;PTRH2;TMEM97;MRPS35;SRM;DKC1;PKM;PAICS;CDCA7;GOT2;ALAD;RPF2;FEM1C;RPS21;OSTC;PLTP;EARS2;RBM3;ARPC5L;TBL2;EEF1E1;CACYBP;RCL1;GAR1;RAN;RPL38;MRPL50;PDIA5;CCT5;RPA2;VKORC1;GPN1;ZNF704;PTGES3;NPM1;TBL1XR1;DCTPP1;RCC1;RPS13;TIMM17A;USP14;CALR;TXNL4A;TFRC;MRTO4;NME4;NHP2;MAP2K3;PSMD7;CETN3;TSR1;NTMT1;MRPS28;RPL29;STT3A;NACA;GUF1;UAP1L1;RYBP;DHODH;FOXN2;MMAA;DCAF13;EIF4EBP1;NDUFV2;TLCD1;RPS17;CCDC125;EIF4A1;CNBP;SLC35E1;PUS1;BYSL;NME2;ANP32B;SLC19A2;HSP90AB1;EIF5A;RPLP1;PDE4A;RPL22;TRMT10A;YME1L1;TUBB4B;HNRNPF;RPS27A;NAA25;DHX15;RPS5;HSPD1;RPL23A;RANBP1;HSP90AA1;RPL6;EMG1;KLF5;ZC3H8;HSPE1;GNAS;AIMP2;RPS15A;KPNA1;RPS6KA1;SLC3A2;WDR4;RPS8;TXNL1;WDR3;CCT7;NOP10;NUP155;EBNA1BP2;RPL27;SLC25A36;RPS23;FASTKD5;CHID1;RPS3;DDX21;EIF5B;CIPC;RPSA;RPL11;SREBF1;MAP3K7;LSM4;HSPBP1;ABCE1;NOC3L;CCT6A;RPL5;RPS24;RPS3A;RPS29;MRPL23;RPL28;TMEM69;RPL12;RPS14;SPTBN1;MLH1;RTN4IP1;NMD3;RPL37;ZNF566;GNL3;RPS18;PRKDC;DCTD;HMGA1;XPO6;RPL36AL;PWP1;RPL32;PDCD6;RPL21;TRIB3;IPO7;ARV1;RPL35;SOD1;RPS6;MIF;ORC5;EXOSC2;ADPGK;SRFBP1;TXN2;RSL1D1;RPS19;TFDP1;RAD23B;YWHAZ;CDC123;HAUS2;SERBP1;RNMT;RPL7A;RPL7;RPL26;DUSP12;TUBB;SEH1L;MORF4L1;HNRNPK;ICAM1;RPL8;SNX11;RAE1;SHMT2;PPIL1;EEF1B2;RPL31;RPL23;GATB;RPS27L;XRCC5;RPLP2;FASTKD2;RPL19;CCT4;RPL36;MRPL48;PSMG1;DUS4L;LSM12;NOB1;PEX12;TMEM80;RPL15
prerank,ESR1 CHEA,0.3847551885986795,1.2466530550732928,0.1005524861878453,0.4540757719464643,0.97,29/135,16.86%,C3;ID3;THSD4;HES1;CYP27A1;PLEKHH2;LRRC49;CLDN23;IGSF3;MLPH;SLC22A23;BMF;SLC16A10;SEMA3C;C1QTNF6;AFAP1L2;FOS;RAPGEFL1;GREB1;PON1;EDN1;TPRG1;RASEF;GPRC5C;PAWR;BCL2;SLC25A19;SLC29A1;GAB2
prerank,VDR CHEA,-0.3376781046039041,-1.2454624519517659,0.09230769230769231,0.5812133072407044,0.2,16/70,15.45%,MSMO1;IRAK2;ABCD2;TMEM156;RAC2;CAB39;DDX60L;CD69;ENTPD7;PIK3C2B;NMI;AP3M2;DTWD1;VDR;PTGER4;KDM1B
prerank,TRIM28 CHEA,0.3591714056370402,1.2104885048601133,0.11447084233261338,0.5664080338637721,0.994,32/177,12.42%,MECOM;SHC3;CBLN1;HTRA1;WNT5A;HAND2;NNMT;IGFBP3;HUNK;BMPER;SMO;BMF;PIM1;ADCY1;TAL1;WT1;PRDM5;NPTX2;SOX9;JUN;CA11;GDF6;RAMP1;EGR1;IGFBP2;ATL1;IGFBP7;FRAT2;PTCH1;PTPRU;JAG2;WNT11
prerank,AR CHEA,0.33307329847403694,1.186985032821765,0.02,0.6222336389503635,1.0,185/873,19.02%,VWC2;EHF;DAPL1;LRRC17;TFCP2L1;CDH1;NPNT;SBK1;THSD4;KLHDC8A;CYP7B1;KCNMB2;DAPK1;EYA2;SERPINI1;KBTBD11;CDH4;MECOM;FAM13C;RIMS1;ADAMTS18;ADAMTS12;AFF3;ADAMTS15;NTNG1;PREX2;GRHL2;BAALC;MCM10;SYN3;CHRNA7;KIF20A;AKAP12;ACKR3;CCNA2;WNT5A;PLA2G5;PTGIS;PLCXD3;PDE9A;NNMT;ZNF385B;ZWINT;SGK3;STXBP6;CABLES1;SLC22A23;CNTN4;RIMS2;MMP16;ZFHX4;LRRN4;PART1;LMNTD1;MPPED2;ANK2;CSRP2;TBC1D4;DTL;KCNG1;FOXG1;CPEB3;FOXP2;HMGCLL1;MATN2;CRIM1;HPCAL4;DACT1;NCALD;IGF1;LAMA3;GRB10;UST;KIF7;PKNOX2;COLGALT2;KCNQ1;GPC5;AFAP1L2;SORBS1;VCAN;ANK3;SOX9;ABLIM3;TSHZ2;PLCB4;PRDM1;SLC16A14;NAV2;CACNA1C;KALRN;SOX6;PPFIBP1;IMPG2;THBS1;SOCS3;TLN2;TBX3;KIF23;ANKRD55;INHBB;HS3ST1;TMTC2;ZFP36L2;NR3C2;MIR99AHG;CSGALNACT1;ATL1;ITGB8;SLX4IP;PTCH1;FGFR1;MYRIP;SPATA6;NTN1;GALNT6;MND1;EFNA5;APLNR;ADRB1;HAAO;ADARB2;PKD1L1;CPAMD8;CTNNA2;VIPR2;ROR2;CRISPLD1;MMP7;TPRG1;USP50;PRKG1;STKLD1;PAG1;MAML2;B3GNT6;PRDM11;DLG5;DDHD1;PAXBP1;DISC1;MARK1;MTMR2;DEPDC1;RGS12;HMGA2;ABCA10;CXCL1;DNM3;SUFU;IKZF2;CIT;NFATC1;NRP1;DENND5B;INPP5A;SLC36A1;MBOAT2;ZBTB2;LETM2;SERINC5;SLC43A1;MAOA;CLU;SASH1;BAZ2B;PTPRM;SH3D19;JAG1;MAML3;LRRFIP2;CBLB;LRRC1;PLEKHH1;EPHA1;CCDC74A;VCL;NEBL;RPS6KC1;ATRX;PDZD2;PKIA;BCAS3;MELK;NR2F2
